,date,party,name,chamber,state
0,2017-02-09,r,luther strange,senate,AL
1,2018-01-03,d,doug jones,senate,AL
2,2016-11-08,r,richard shelby,senate,AL
3,2016-11-08,r,lisa murkowski,senate,AK
4,2016-11-08,r,john mccain,senate,AZ
5,2018-09-04,r,jon kyl,senate,AZ
6,2016-11-08,r,john boozman,senate,AR
7,2016-11-08,d,kamala harris,senate,CA
8,2016-11-08,d,michael bennet,senate,CO
9,2016-11-08,d,richard blumenthal,senate,CT
10,2016-11-08,r,marco rubio,senate,FL
11,2016-11-08,r,johnny isakson,senate,GA
12,2016-11-08,d,brian schatz,senate,HI
13,2016-11-08,r,mike crapo,senate,ID
14,2016-11-08,d,tammy duckworth,senate,IL
15,2016-11-08,r,todd young,senate,IN
16,2016-11-08,r,chuck grassley,senate,IA
17,2016-11-08,r,jerry moran,senate,KS
18,2016-11-08,r,rand paul,senate,KY
19,2016-11-08,r,john kennedy,senate,LA
20,2016-11-08,d,chris van hollen,senate,MD
21,2018-01-03,d,tina smith,senate,MN
22,2018-04-02,r,cindy hydesmith,senate,MS
23,2016-11-08,r,roy blunt,senate,MO
24,2016-11-08,d,catherine cortez masto,senate,NV
25,2016-11-08,d,maggie hassan,senate,NH
26,2016-11-08,d,chuck schumer,senate,NY
27,2016-11-08,r,richard burr,senate,NC
28,2016-11-08,r,john hoeven,senate,ND
29,2016-11-08,r,rob portman,senate,OH
30,2016-11-08,r,james lankford,senate,OK
31,2016-11-08,d,ron wyden,senate,OR
32,2016-11-08,r,pat toomey,senate,PA
33,2016-11-08,r,tim scott,senate,SC
34,2016-11-08,r,john thune,senate,SD
35,2016-11-08,r,mike lee,senate,UT
36,2016-11-08,d,patrick leahy,senate,VT
37,2016-11-08,d,patty murray,senate,WA
38,2016-11-08,r,ron johnson,senate,WI
39,2014-11-04,r,jeff sessions,senate,AL
40,2014-11-04,r,dan sullivan,senate,AK
41,2014-11-04,r,tom cotton,senate,AR
42,2014-11-04,r,cory gardner,senate,CO
43,2014-11-04,d,chris coons,senate,DE
44,2014-11-04,r,david perdue,senate,GA
45,2014-11-04,r,jim risch,senate,ID
46,2014-11-04,d,dick durbin,senate,IL
47,2014-11-04,r,joni ernst,senate,IA
48,2014-11-04,r,pat roberts,senate,KS
49,2014-11-04,r,mitch mcconnell,senate,KY
50,2014-11-04,r,bill cassidy,senate,LA
51,2014-11-04,r,susan collins,senate,ME
52,2014-11-04,d,ed markey,senate,MA
53,2014-11-04,d,gary peters,senate,MI
54,2014-11-04,d,al franken,senate,MN
55,2014-11-04,r,thad cochran,senate,MS
56,2014-11-04,r,steve daines,senate,MT
57,2014-11-04,r,ben sasse,senate,NE
58,2014-11-04,d,jeanne shaheen,senate,NH
59,2014-11-04,d,cory booker,senate,NJ
60,2014-11-04,d,tom udall,senate,NM
61,2014-11-04,r,thom tillis,senate,NC
62,2014-11-04,r,jim inhofe,senate,OK
63,2014-11-04,d,jeff merkley,senate,OR
64,2014-11-04,d,jack reed,senate,RI
65,2014-11-04,r,lindsey graham,senate,SC
66,2014-11-04,r,mike rounds,senate,SD
67,2014-11-04,r,lamar alexander,senate,TN
68,2014-11-04,r,john cornyn,senate,TX
69,2014-11-04,d,mark warner,senate,VA
70,2014-11-04,r,shelley moore capito,senate,WV
71,2014-11-04,r,mike enzi,senate,WY
72,2012-11-06,r,jeff flake,senate,AZ
73,2012-11-06,d,dianne feinstein,senate,CA
74,2012-11-06,d,chris murphy,senate,CT
75,2012-11-06,d,tom carper,senate,DE
76,2012-11-06,d,bill nelson,senate,FL
77,2012-11-06,d,mazie hirono,senate,HI
78,2012-11-06,d,joe donnelly,senate,IN
79,2012-11-06,i,angus king,senate,ME
80,2012-11-06,d,ben cardin,senate,MD
81,2012-11-06,d,elizabeth warren,senate,MA
82,2013-02-01,d,mo cowan,senate,MA
83,2013-07-16,d,ed markey,senate,MA
84,2012-11-06,d,debbie stabenow,senate,MI
85,2012-11-06,d,amy klobuchar,senate,MN
86,2012-11-06,r,roger wicker,senate,MS
87,2012-11-06,d,claire mccaskill,senate,MO
88,2012-11-06,d,jon tester,senate,MT
89,2014-02-09,d,john walsh,senate,MT
90,2012-11-06,r,deb fischer,senate,NE
91,2012-11-06,r,dean heller,senate,NV
92,2012-11-06,d,bob menendez,senate,NJ
93,2013-06-06,r,jeffrey chiesa,senate,NJ
94,2013-10-31,d,cory booker,senate,NJ
95,2012-11-06,d,martin heinrich,senate,NM
96,2012-11-06,d,kirsten gillibrand,senate,NY
97,2012-11-06,d,heidi heitkamp,senate,ND
98,2012-11-06,d,sherrod brown,senate,OH
99,2012-11-06,d,bob casey jr,senate,PA
100,2012-11-06,d,sheldon whitehouse,senate,RI
101,2012-11-06,r,bob corker,senate,TN
102,2012-11-06,r,ted cruz,senate,TX
103,2012-11-06,r,orrin hatch,senate,UT
104,2012-11-06,i,bernie sanders,senate,VT
105,2012-11-06,d,tim kaine,senate,VA
106,2012-11-06,d,maria cantwell,senate,WA
107,2012-11-06,d,joe manchin,senate,WV
108,2012-11-06,d,tammy baldwin,senate,WI
109,2012-11-06,r,john barrasso,senate,WY
110,2010-11-02,r,richard shelby,senate,AL
111,2010-11-02,r,lisa murkowski,senate,AK
112,2010-11-02,r,john mccain,senate,AZ
113,2010-11-02,r,john boozman,senate,AR
114,2010-11-02,d,barbara boxer,senate,CA
115,2010-11-02,d,michael bennet,senate,CO
116,2010-11-02,d,richard blumenthal,senate,CT
117,2010-11-02,r,marco rubio,senate,FL
118,2010-11-02,r,johnny isakson,senate,GA
119,2010-11-02,d,daniel inouye,senate,HI
120,2012-12-26,d,brian schatz,senate,HI
121,2010-11-02,r,mike crapo,senate,ID
122,2010-11-02,r,mark kirk,senate,IL
123,2010-11-02,r,dan coats,senate,IN
124,2010-11-02,r,chuck grassley,senate,IA
125,2010-11-02,r,jerry moran,senate,KS
126,2010-11-02,r,rand paul,senate,KY
127,2010-11-02,r,david vitter,senate,LA
128,2010-11-02,d,barbara mikulski,senate,MD
129,2010-11-02,r,roy blunt,senate,MO
130,2011-05-09,r,dean heller,senate,NV
131,2010-11-02,d,harry reid,senate,NV
132,2010-11-02,r,kelly ayotte,senate,NH
133,2010-11-02,d,charles schumer,senate,NY
134,2010-11-02,r,richard burr,senate,NC
135,2010-11-02,r,john hoeven,senate,ND
136,2010-11-02,r,rob portman,senate,OH
137,2010-11-02,r,tom coburn,senate,OK
138,2010-11-02,d,ron wyden,senate,OR
139,2010-11-02,r,pat toomey,senate,PA
140,2010-11-02,r,jim demint,senate,SC
141,2013-01-02,r,tim scott,senate,SC
142,2010-11-02,r,john thune,senate,SD
143,2010-11-02,r,mike lee,senate,UT
144,2010-11-02,d,patrick leahy,senate,VT
145,2010-11-02,d,patty murray,senate,WA
146,2010-11-02,r,ron johnson,senate,WI
